text,segment,label_class,label
问一下抑郁性神经症完全治愈要多久,"['问', '一下', '抑郁性神经症', '完全', '治愈', '要', '多久']",治疗时间,11
请问非月经期阴道出血腹部疼痛怎么办？,"['请问', '非', '月经期', '阴道', '出血', '腹部', '疼痛', '怎么办', '？']",治疗方法,5
打扰问一下巨细胞动脉炎治好希望大么？,"['打扰', '问', '一下', '巨细胞动脉炎', '治', '好', '希望', '大', '么', '？']",治愈率,8
你好，麻烦问一下心理障碍挂啥科,"['你好', '，', '麻烦', '问', '一下', '心理障碍', '挂', '啥', '科']",所属科室,6
我家孩子一个半月三四天不拉屎用开塞露才会拉,"['我家', '孩子', '一个半月', '三四天', '不', '拉屎', '用', '开塞露', '才', '会', '拉']",治疗方法,5
尿道口有白色分泌物是怎么回事？,"['尿道口', '有', '白色', '分泌物', '是', '怎么回事', '？']",临床表现(病症表现),3
请问欧兰宁有吗？,"['请问', '欧兰宁', '有', '吗', '？']",其他,12
2个月婴儿拉肚子,"['2', '个', '月', '婴儿', '拉肚子']",临床表现(病症表现),3
我感觉困的很，这到底是怎么回事呢？是嗜睡吗？,"['我', '感觉', '困', '的', '很', '，', '这', '到底', '是', '怎么回事', '呢', '？', '是', '嗜睡', '吗', '？']",病因,1
最近总是恶心怎么回事,"['最近', '总是', '恶心', '怎么回事']",病因,1
治疗支气管扩张的最好方法是什么?,"['治疗', '支气管扩张', '的', '最好', '方法', '是', '什么', '?']",治疗方法,5
午睡心悸心慌怎么回事,"['午睡', '心悸', '心慌', '怎么回事']",病因,1
打扰问一下脊髓小脑变性症如何体检,"['打扰', '问', '一下', '脊髓小脑变性症', '如何', '体检']",化验/体检方案,10
支气管炎如何治疗好，如何调理,"['支气管炎', '如何', '治疗', '好', '，', '如何', '调理']",治疗方法,5
请问胎儿肾盂扩张了怎么办？,"['请问', '胎儿', '肾盂', '扩张', '了', '怎么办', '？']",临床表现(病症表现),3
怎样早期发现小肝癌,"['怎样', '早期', '发现', '小', '肝癌']",预防,2
小儿尿路感染要看什么科,"['小儿尿路感染', '要', '看', '什么', '科']",所属科室,6
胸腺瘤有什么分类?,"['胸腺瘤', '有', '什么', '分类', '?']",其他,12
您好男生殖系结核会让我得上吗,"['您好', '男生殖系结核', '会', '让', '我', '得', '上', '吗']",传染性,7
请教一下少突胶质细胞瘤我会染上吗,"['请教', '一下', '少突胶质细胞瘤', '我会', '染上', '吗']",传染性,7
宝宝尿少尿黄怎么回事？,"['宝宝', '尿少', '尿', '黄', '怎么回事', '？']",病因,1
打扰问一下脊柱关节炎要做什么化验治疗吗,"['打扰', '问', '一下', '脊柱关节炎', '要', '做', '什么', '化验', '治疗', '吗']",化验/体检方案,10
肾上腺结节高血压多汗皮肤不好,"['肾上腺', '结节', '高血压', '多汗', '皮肤', '不好']",其他,12
冒昧问一下甲状腺乳头癌能治吗,"['冒昧', '问', '一下', '甲状腺乳头癌', '能治', '吗']",治愈率,8
愈美片心脏病人可以吃吗,"['愈美片', '心脏病', '人', '可以', '吃', '吗']",禁忌,9
肛门括约肌断裂并萎缩，能治治好吗？怎样治疗？,"['肛门', '括约肌', '断裂', '并', '萎缩', '，', '能', '治治', '好', '吗', '？', '怎样', '治疗', '？']",其他,12
扩张型心肌病患者不能吃什么？,"['扩张型心肌病', '患者', '不能', '吃', '什么', '？']",禁忌,9
什么是变异性哮喘,"['什么', '是', '变异性哮喘']",定义,0
内痔中期需要手术吗？不手术如应如何治疗？,"['内痔', '中期', '需要', '手术', '吗', '？', '不', '手术', '如应', '如何', '治疗', '？']",其他,12
肛门下有一粒东西，擦到就痛。是痔疮吗？,"['肛门', '下', '有', '一粒', '东西', '，', '擦', '到', '就', '痛', '。', '是', '痔疮', '吗', '？']",定义,0
颈椎半脱位挂啥科,"['颈椎半脱位', '挂', '啥', '科']",所属科室,6
请问阴道口外侧长了个疙瘩有点痒是什么？,"['请问', '阴道口', '外侧', '长', '了', '个', '疙瘩', '有点', '痒', '是', '什么', '？']",病因,1
你好我问一下，尿道管疼怎么回事啊，怎么办好呢,"['你好', '我', '问', '一下', '，', '尿道', '管疼', '怎么回事', '啊', '，', '怎么办', '好', '呢']",治疗方法,5
孕妇有痔疮能顺产吗,"['孕妇', '有', '痔疮', '能', '顺产', '吗']",其他,12
失眠多梦，怎么办，可以用什么药治疗，效果较彻底？,"['失眠', '多梦', '，', '怎么办', '，', '可以', '用', '什么', '药', '治疗', '，', '效果', '较', '彻底', '？']",治疗方法,5
怎样判断什么是稳定性心绞痛和不稳定性心绞痛,"['怎样', '判断', '什么', '是', '稳定性', '心绞痛', '和', '不稳定性', '心绞痛']",其他,12
请教一下尿道炎易发人群是哪些人,"['请教', '一下', '尿道炎', '易发', '人群', '是', '哪些', '人']",传染性,7
慢阻肺是由什么原因引起的,"['慢阻', '肺', '是', '由', '什么', '原因', '引起', '的']",病因,1
怀疑为肺动脉狭窄需要做什么检查确诊吗？,"['怀疑', '为', '肺动脉', '狭窄', '需要', '做', '什么', '检查', '确诊', '吗', '？']",化验/体检方案,10
颅脑火器性损伤怎么办,"['颅脑', '火器', '性', '损伤', '怎么办']",治疗方法,5
怎么做可以避掉网膜炎,"['怎么', '做', '可以', '避掉', '网膜炎']",预防,2
问一下胆总管结石如何体检？,"['问', '一下', '胆总管结石', '如何', '体检', '？']",化验/体检方案,10
心绞痛应如何分型,"['心绞痛', '应', '如何', '分型']",定义,0
先天性巨结肠手术10年了，现肛门不大如何治疗？,"['先天性巨结肠', '手术', '10', '年', '了', '，', '现', '肛门', '不', '大', '如何', '治疗', '？']",治疗方法,5
冒昧问一下小儿肾性贫血的治疗周期,"['冒昧', '问', '一下', '小儿肾性贫血', '的', '治疗', '周期']",治疗时间,11
打扰问一下脑干肿瘤能否治好,"['打扰', '问', '一下', '脑干肿瘤', '能否', '治', '好']",治愈率,8
火眼要检查啥项目？,"['火眼', '要', '检查', '啥', '项目', '？']",化验/体检方案,10
肝豆状核变性治好得多少年,"['肝豆状核变性', '治', '好得多', '少年']",治疗时间,11
9个月宝宝拉肚子一直不好怎么办,"['9', '个', '月', '宝宝', '拉肚子', '一直', '不好', '怎么办']",治疗方法,5
问一下颅内肿瘤可以挂什么科,"['问', '一下', '颅内肿瘤', '可以', '挂', '什么', '科']",所属科室,6
你好医生，小儿尿路感染反复发作,"['你好', '医生', '，', '小儿尿路感染', '反复', '发作']",临床表现(病症表现),3
心绞痛会疼很多天吗,"['心绞痛', '会', '疼', '很多', '天', '吗']",临床表现(病症表现),3
心绞痛需要长期服药吗,"['心绞痛', '需要', '长期', '服药', '吗']",治疗方法,5
你好医生怀孕了严重感冒怎么办,"['你好', '医生', '怀孕', '了', '严重', '感冒', '怎么办']",治疗方法,5
患者：男，62岁。患鳞状食道癌..,"['患者', '：', '男', '，', '62', '岁', '。', '患鳞状', '食道癌', '..']",其他,12
肛裂怎么治。怎么食疗。,"['肛裂', '怎么', '治', '。', '怎么', '食疗', '。']",病因,1
出血性脑梗死易发人群有哪些,"['出血性脑梗死', '易发', '人群', '有', '哪些']",其他,12
我家宝宝最近夜里大脑好像不休息,"['我家', '宝宝', '最近', '夜里', '大脑', '好像', '不', '休息']",病因,1
你好，麻烦问一下十二指肠内瘘治好得多少年,"['你好', '，', '麻烦', '问', '一下', '十二指肠内瘘', '治', '好得多', '少年']",治疗时间,11
脑出血有哪些症状?,"['脑出血', '有', '哪些', '症状', '?']",临床表现(病症表现),3
你好，我想大概问一下啊步长稳心颗粒我要买这个有没,"['你好', '，', '我', '想', '大概', '问', '一下', '啊', '步长', '稳心', '颗粒', '我要', '买', '这个', '有', '没']",其他,12
心脏上怎么会长血管瘤,"['心脏', '上', '怎么', '会长', '血管瘤']",病因,1
您好釉质发育不全容易感染不,"['您好', '釉质发育不全', '容易', '感染', '不']",传染性,7
我是患有按个低血压心脏病的呢，可以吃吗啊？,"['我', '是', '患有', '按个', '低血压', '心脏病', '的', '呢', '，', '可以', '吃', '吗', '啊', '？']",其他,12
骨葆片与骨保胶囊，这两个谁的疗效更好呢？,"['骨葆片', '与', '骨保', '胶囊', '，', '这', '两个', '谁', '的', '疗效', '更好', '呢', '？']",其他,12
第一次怀孕是人流还是药流好？,"['第一次', '怀孕', '是', '人流', '还是', '药流', '好', '？']",其他,12
心包破损伤是什么病？,"['心包', '破', '损伤', '是', '什么', '病', '？']",定义,0
42岁月经不调腹胀怎么治疗？,"['42', '岁', '月经不调', '腹胀', '怎么', '治疗', '？']",治疗方法,5
痔疮会影响胎停育吗,"['痔疮', '会', '影响', '胎', '停育', '吗']",相关病症,4
用晨尿T区却弱，不用晨尿却T区强怎么回事,"['用晨', '尿', 'T', '区', '却', '弱', '，', '不用', '晨尿', '却', 'T', '区强', '怎么回事']",其他,12
如果得了产碱杆菌肺炎挂啥科,"['如果', '得', '了', '产碱杆菌肺炎', '挂', '啥', '科']",所属科室,6
冒昧问一下恶性雀斑样痣做啥体检呢？,"['冒昧', '问', '一下', '恶性雀斑样痣', '做', '啥', '体检', '呢', '？']",化验/体检方案,10
低血糖要花多少时间治好,"['低血糖', '要花', '多少', '时间', '治', '好']",治疗时间,11
男遗精年龄多少,"['男', '遗精', '年龄', '多少']",其他,12
10个月宝宝大便微稀，略酸一天1到2次是否正常,"['10', '个', '月', '宝宝', '大便', '微稀', '，', '略酸', '一天', '1', '到', '2', '次', '是否', '正常']",其他,12
尿失禁的症状,"['尿失禁', '的', '症状']",临床表现(病症表现),3
医生您好！我想请问想买这个琥珀酸美托洛尔缓释片,"['医生', '您好', '！', '我', '想', '请问', '想', '买', '这个', '琥珀酸', '美托', '洛尔', '缓释片']",其他,12
宝宝两个月大便脂肪球两个加怎么办？,"['宝宝', '两个', '月', '大便', '脂肪', '球', '两个', '加', '怎么办', '？']",治疗方法,5
脑梗死咋治疗,"['脑梗死', '咋', '治疗']",治疗方法,5
